MOATS,ID,----,D,L,M,2L,LL,Jar,Target_Treatment,Treatment_abbv
11,M11_B5,NA,NA,10,NA,NA,NA,B5,pH_7.55_DO_3.73,LL
11,M11_B6,5,1,4,NA,NA,NA,B6,pH_7.55_DO_3.73,LL
11,M11_B7,5,1,4,NA,NA,NA,B7,pH_7.55_DO_3.73,LL
11,M11_C1,NA,1,9,NA,NA,NA,C1,pH_7.55_DO_3.73,LL
11,M11_C2,3,1,6,NA,NA,NA,C2,pH_7.55_DO_3.73,LL
11,M11_C3,1,1,8,NA,NA,NA,C3,pH_7.55_DO_3.73,LL
11,M11_C4,NA,1,9,NA,NA,NA,C4,pH_7.55_DO_3.73,LL
11,M11_C5,NA,1,9,NA,NA,NA,C5,pH_7.55_DO_3.73,LL
11,M11_C6,NA,1,9,NA,NA,NA,C6,pH_7.55_DO_3.73,LL
11,M11_C7,NA,1,9,NA,NA,NA,C7,pH_7.55_DO_3.73,LL
11,M11_D1,NA,1,9,NA,NA,NA,D1,pH_7.55_DO_3.73,LL
11,M11_D2,5,1,4,NA,NA,NA,D2,pH_7.55_DO_3.73,LL
11,M11_D3,NA,NA,10,NA,NA,NA,D3,pH_7.55_DO_3.73,LL
11,M11_D4,3,1,6,NA,NA,NA,D4,pH_7.55_DO_3.73,LL
11,M11_D5,NA,NA,10,NA,NA,NA,D5,pH_7.55_DO_3.73,LL
11,M11_D6,2,1,7,NA,NA,NA,D6,pH_7.55_DO_3.73,LL
11,M11_D7,NA,NA,10,NA,NA,NA,D7,pH_7.55_DO_3.73,LL
12,M12_A1,NA,NA,10,NA,NA,NA,A1,pH_7.95_DO_3.73,HL
12,M12_A2,NA,NA,10,NA,NA,NA,A2,pH_7.95_DO_3.73,HL
12,M12_A3,NA,NA,10,NA,NA,NA,A3,pH_7.95_DO_3.73,HL
12,M12_A6,2,1,7,NA,NA,NA,A6,pH_7.95_DO_3.73,HL
12,M12_A7,NA,1,9,NA,NA,NA,A7,pH_7.95_DO_3.73,HL
12,M12_B1,NA,1,9,NA,NA,NA,B1,pH_7.95_DO_3.73,HL
12,M12_B2,NA,NA,10,NA,NA,NA,B2,pH_7.95_DO_3.73,HL
12,M12_B3,NA,NA,10,NA,NA,NA,B3,pH_7.95_DO_3.73,HL
12,M12_B4,NA,1,9,NA,NA,NA,B4,pH_7.95_DO_3.73,HL
12,M12_B5,NA,NA,10,NA,NA,NA,B5,pH_7.95_DO_3.73,HL
12,M12_B6,NA,1,9,NA,NA,NA,B6,pH_7.95_DO_3.73,HL
12,M12_B7,NA,1,9,NA,NA,NA,B7,pH_7.95_DO_3.73,HL
12,M12_C2,NA,NA,10,NA,NA,NA,C2,pH_7.95_DO_3.73,HL
12,M12_C5,1,1,8,NA,NA,NA,C5,pH_7.95_DO_3.73,HL
12,M12_C6,NA,NA,10,NA,NA,NA,C6,pH_7.95_DO_3.73,HL
12,M12_C7,NA,NA,10,NA,NA,NA,C7,pH_7.95_DO_3.73,HL
12,M12_D1,NA,NA,10,NA,NA,NA,D1,pH_7.95_DO_3.73,HL
12,M12_D2,NA,NA,10,NA,NA,NA,D2,pH_7.95_DO_3.73,HL
12,M12_D3,NA,NA,10,NA,NA,NA,D3,pH_7.95_DO_3.73,HL
12,M12_D4,NA,NA,10,NA,NA,NA,D4,pH_7.95_DO_3.73,HL
12,M12_D5,NA,NA,10,NA,NA,NA,D5,pH_7.95_DO_3.73,HL
12,M12_D6,NA,NA,10,NA,NA,NA,D6,pH_7.95_DO_3.73,HL
12,M12_D7,NA,NA,10,NA,NA,NA,D7,pH_7.95_DO_3.73,HL
13,M13_A1,NA,NA,10,NA,NA,NA,A1,pH_7.95_DO_9.32,HH
13,M13_A2,NA,NA,10,NA,NA,NA,A2,pH_7.95_DO_9.32,HH
13,M13_A3,3,1,6,NA,NA,NA,A3,pH_7.95_DO_9.32,HH
13,M13_A4,NA,1,9,NA,NA,NA,A4,pH_7.95_DO_9.32,HH
13,M13_A6,NA,NA,10,NA,NA,NA,A6,pH_7.95_DO_9.32,HH
13,M13_A7,NA,NA,10,NA,NA,NA,A7,pH_7.95_DO_9.32,HH
13,M13_B1,1,1,8,NA,NA,NA,B1,pH_7.95_DO_9.32,HH
13,M13_B2,NA,NA,10,NA,NA,NA,B2,pH_7.95_DO_9.32,HH
13,M13_B3,NA,NA,10,NA,NA,NA,B3,pH_7.95_DO_9.32,HH
13,M13_B5,NA,NA,10,NA,NA,NA,B5,pH_7.95_DO_9.32,HH
13,M13_B6,1,1,8,NA,NA,NA,B6,pH_7.95_DO_9.32,HH
13,M13_B7,NA,NA,10,NA,NA,NA,B7,pH_7.95_DO_9.32,HH
13,M13_C1,NA,1,9,NA,NA,NA,C1,pH_7.95_DO_9.32,HH
13,M13_C2,NA,NA,10,NA,NA,NA,C2,pH_7.95_DO_9.32,HH
13,M13_C3,NA,1,9,NA,NA,NA,C3,pH_7.95_DO_9.32,HH
13,M13_C4,NA,NA,10,NA,NA,NA,C4,pH_7.95_DO_9.32,HH
13,M13_C5,3,1,6,NA,NA,NA,C5,pH_7.95_DO_9.32,HH
13,M13_C6,NA,1,9,NA,NA,NA,C6,pH_7.95_DO_9.32,HH
13,M13_C7,NA,NA,10,NA,NA,NA,C7,pH_7.95_DO_9.32,HH
13,M13_D1,NA,1,9,NA,NA,NA,D1,pH_7.95_DO_9.32,HH
13,M13_D2,3,1,6,NA,NA,NA,D2,pH_7.95_DO_9.32,HH
13,M13_D3,3,1,6,NA,NA,NA,D3,pH_7.95_DO_9.32,HH
13,M13_D4,NA,NA,10,NA,NA,NA,D4,pH_7.95_DO_9.32,HH
13,M13_D5,NA,NA,10,NA,NA,NA,D5,pH_7.95_DO_9.32,HH
13,M13_D6,NA,1,9,NA,NA,NA,D6,pH_7.95_DO_9.32,HH
13,M13_D7,NA,NA,10,NA,NA,NA,D7,pH_7.95_DO_9.32,HH
3,M3_A1,4,1,5,NA,NA,NA,A1,pH_7.95_DO_9.32,HH
3,M3_A2,NA,NA,10,NA,NA,NA,A2,pH_7.95_DO_9.32,HH
3,M3_A3,NA,NA,10,NA,NA,NA,A3,pH_7.95_DO_9.32,HH
3,M3_A4,NA,NA,10,NA,NA,NA,A4,pH_7.95_DO_9.32,HH
3,M3_A5,NA,NA,10,NA,NA,NA,A5,pH_7.95_DO_9.32,HH
3,M3_A6,1,1,8,NA,NA,NA,A6,pH_7.95_DO_9.32,HH
3,M3_A7,NA,1,9,NA,NA,NA,A7,pH_7.95_DO_9.32,HH
3,M3_B1,2,1,7,NA,NA,NA,B1,pH_7.95_DO_9.32,HH
3,M3_B2,NA,1,9,NA,NA,NA,B2,pH_7.95_DO_9.32,HH
3,M3_B3,NA,NA,10,NA,NA,NA,B3,pH_7.95_DO_9.32,HH
3,M3_B4,1,1,8,NA,NA,NA,B4,pH_7.95_DO_9.32,HH
3,M3_B5,NA,NA,10,NA,NA,NA,B5,pH_7.95_DO_9.32,HH
3,M3_B6,NA,1,9,NA,NA,NA,B6,pH_7.95_DO_9.32,HH
3,M3_B7,NA,1,9,NA,NA,NA,B7,pH_7.95_DO_9.32,HH
3,M3_C1,NA,NA,10,NA,NA,NA,C1,pH_7.95_DO_9.32,HH
3,M3_C2,2,1,7,NA,NA,NA,C2,pH_7.95_DO_9.32,HH
3,M3_C3,1,1,8,NA,NA,NA,C3,pH_7.95_DO_9.32,HH
3,M3_C4,NA,NA,10,NA,NA,NA,C4,pH_7.95_DO_9.32,HH
3,M3_C5,NA,NA,10,NA,NA,NA,C5,pH_7.95_DO_9.32,HH
3,M3_C6,4,1,5,NA,NA,NA,C6,pH_7.95_DO_9.32,HH
3,M3_C7,2,1,7,NA,NA,NA,C7,pH_7.95_DO_9.32,HH
3,M3_D1,2,1,7,NA,NA,NA,D1,pH_7.95_DO_9.32,HH
3,M3_D2,3,1,6,NA,NA,NA,D2,pH_7.95_DO_9.32,HH
3,M3_D3,NA,1,9,NA,NA,NA,D3,pH_7.95_DO_9.32,HH
3,M3_D4,NA,NA,10,NA,NA,NA,D4,pH_7.95_DO_9.32,HH
3,M3_D5,NA,1,9,NA,NA,NA,D5,pH_7.95_DO_9.32,HH
3,M3_D6,1,1,8,NA,NA,NA,D6,pH_7.95_DO_9.32,HH
3,M3_D7,NA,1,9,NA,NA,NA,D7,pH_7.95_DO_9.32,HH
4,M4_A1,2,1,7,NA,NA,NA,A1,pH_7.55_DO_3.73,LL
4,M4_A2,NA,NA,10,NA,NA,NA,A2,pH_7.55_DO_3.73,LL
4,M4_A3,NA,NA,10,NA,NA,NA,A3,pH_7.55_DO_3.73,LL
4,M4_A4,NA,1,9,NA,NA,NA,A4,pH_7.55_DO_3.73,LL
4,M4_A5,NA,NA,10,NA,NA,NA,A5,pH_7.55_DO_3.73,LL
4,M4_A7,NA,NA,10,NA,NA,NA,A7,pH_7.55_DO_3.73,LL
4,M4_B1,2,1,7,NA,NA,NA,B1,pH_7.55_DO_3.73,LL
4,M4_B2,1,1,8,NA,NA,NA,B2,pH_7.55_DO_3.73,LL
4,M4_B3,1,1,8,NA,NA,NA,B3,pH_7.55_DO_3.73,LL
4,M4_B4,7,1,2,NA,NA,NA,B4,pH_7.55_DO_3.73,LL
4,M4_B5,NA,NA,10,NA,NA,NA,B5,pH_7.55_DO_3.73,LL
4,M4_B6,NA,NA,10,NA,NA,NA,B6,pH_7.55_DO_3.73,LL
4,M4_B7,4,1,5,NA,NA,NA,B7,pH_7.55_DO_3.73,LL
4,M4_C1,2,1,7,NA,NA,NA,C1,pH_7.55_DO_3.73,LL
4,M4_C2,NA,NA,10,NA,NA,NA,C2,pH_7.55_DO_3.73,LL
4,M4_C3,NA,NA,10,NA,NA,NA,C3,pH_7.55_DO_3.73,LL
4,M4_C4,5,1,4,NA,NA,NA,C4,pH_7.55_DO_3.73,LL
4,M4_C5,NA,NA,10,NA,NA,NA,C5,pH_7.55_DO_3.73,LL
4,M4_C6,NA,NA,10,NA,NA,NA,C6,pH_7.55_DO_3.73,LL
4,M4_C7,6,1,3,NA,NA,NA,C7,pH_7.55_DO_3.73,LL
4,M4_D1,NA,NA,10,NA,NA,NA,D1,pH_7.55_DO_3.73,LL
4,M4_D2,NA,NA,10,NA,NA,NA,D2,pH_7.55_DO_3.73,LL
4,M4_D3,1,1,8,NA,NA,NA,D3,pH_7.55_DO_3.73,LL
4,M4_D4,2,1,7,NA,NA,NA,D4,pH_7.55_DO_3.73,LL
4,M4_D5,2,1,7,NA,NA,NA,D5,pH_7.55_DO_3.73,LL
4,M4_D6,NA,NA,10,NA,NA,NA,D6,pH_7.55_DO_3.73,LL
4,M4_D7,NA,NA,10,NA,NA,NA,D7,pH_7.55_DO_3.73,LL
5,M5_A1,NA,NA,10,NA,NA,NA,A1,pH_7.55_DO_9.32,LH
5,M5_A2,7,1,2,NA,NA,NA,A2,pH_7.55_DO_9.32,LH
5,M5_A3,NA,NA,10,NA,NA,NA,A3,pH_7.55_DO_9.32,LH
5,M5_A4,NA,NA,10,NA,NA,NA,A4,pH_7.55_DO_9.32,LH
5,M5_A5,NA,NA,10,NA,NA,NA,A5,pH_7.55_DO_9.32,LH
5,M5_A6,NA,1,9,NA,NA,NA,A6,pH_7.55_DO_9.32,LH
5,M5_A7,NA,NA,10,NA,NA,NA,A7,pH_7.55_DO_9.32,LH
5,M5_B1,2,1,7,NA,NA,NA,B1,pH_7.55_DO_9.32,LH
5,M5_B2,NA,NA,10,NA,NA,NA,B2,pH_7.55_DO_9.32,LH
5,M5_B3,NA,NA,10,NA,NA,NA,B3,pH_7.55_DO_9.32,LH
5,M5_B4,NA,NA,10,NA,NA,NA,B4,pH_7.55_DO_9.32,LH
5,M5_B5,NA,NA,10,NA,NA,NA,B5,pH_7.55_DO_9.32,LH
